market,strategy,trades,total_return_pct,max_drawdown_pct,win_rate_pct,sharpe
KRW-IP,momentum_24_120,70,-38.37040637808891,-48.2373718801242,38.17204301075269,-3.3245766546027373
KRW-IP,rsi_reversion_30_55,58,-42.27494466709818,-53.09150466089725,43.56435643564357,-1.6820169231790214
KRW-IP,bb_reversion_20_2,52,-29.85036994850836,-37.69850343301172,43.859649122807014,-1.2078704385941967
KRW-IP,breakout_close_k05,213,-22.025167308315552,-37.37962979069876,41.03585657370518,-1.535566685924958
KRW-LINK,sma_cross_20_80,25,-31.414518588648164,-36.423821925734835,45.1588502269289,-2.7882980933305856
KRW-LINK,ema_cross_12_48,40,-19.806219591853857,-28.543016679940692,44.199706314243755,-1.4859754614673493
KRW-LINK,trend_sma50_200,61,-19.517962046684033,-23.34830339104863,44.09340659340659,-2.1026010799574557
KRW-LINK,donchian_20_10,43,-14.422594564482448,-23.953563592702455,44.168260038240916,-1.1470817711881998
KRW-LINK,momentum_24_120,80,-19.663881726723954,-25.04643357941212,43.13725490196079,-2.264731398274605
KRW-LINK,rsi_reversion_30_55,49,-23.99356125180272,-29.58178030909999,46.51898734177215,-2.0009669608474896
KRW-LINK,bb_reversion_20_2,52,-20.23935345467841,-29.114457943841966,48.24462061155153,-1.7072056526788935
KRW-LINK,breakout_close_k05,298,-31.990417450926913,-33.175684880225496,40.92219020172911,-4.939521800384396
KRW-DKA,sma_cross_20_80,22,-31.362440847943862,-45.248158632745316,44.80578139114724,-0.5034380667408163
KRW-DKA,ema_cross_12_48,40,-45.750659629665556,-59.66310504177568,42.51734390485629,-1.0186561978842308
KRW-DKA,trend_sma50_200,47,-46.85975905551677,-58.92290884532514,41.9753086419753,-1.8249882012185743
KRW-DKA,donchian_20_10,35,-55.88961519555915,-61.37266093654916,43.101604278074866,-1.8619417130021654
KRW-DKA,momentum_24_120,69,-14.630085807835002,-46.19105418985456,44.8559670781893,0.06894586328315584
KRW-DKA,rsi_reversion_30_55,50,8.135550764542177,-39.06696644347267,49.052132701421804,0.6723550169334988
KRW-DKA,bb_reversion_20_2,55,2.8340324025319052,-26.333132679045935,49.368686868686865,0.40471129097598185
KRW-DKA,breakout_close_k05,244,-54.94470836459053,-54.94470836459053,35.11705685618729,-2.5521687238773887
KRW-SHIB,sma_cross_20_80,31,-40.421444031723375,-41.87391200225134,41.52876280535855,-3.4212365287343207
KRW-SHIB,ema_cross_12_48,48,-36.50170457022731,-39.81362693262902,41.30794701986755,-2.9522288710225437
KRW-SHIB,trend_sma50_200,49,-20.021031203516614,-29.776860152164975,43.99293286219081,-2.2782134935453913
KRW-SHIB,donchian_20_10,34,-30.26833218303082,-32.716815300878025,40.64064064064064,-2.464284958537228
KRW-SHIB,momentum_24_120,75,-24.706241691081466,-26.989409353573368,42.62948207171315,-2.6484345910196296
KRW-SHIB,rsi_reversion_30_55,54,-2.0668299744676655,-22.3410843775524,42.67453294001967,0.008244531412873355
KRW-SHIB,bb_reversion_20_2,61,5.6890131448415815,-16.58291457286435,41.56560088202866,0.6288620285584059
KRW-SHIB,breakout_close_k05,251,-40.42378239103117,-41.24188934527213,40.33333333333333,-6.573089924400298
KRW-TRUMP,sma_cross_20_80,25,-34.806617209690046,-41.77764047805114,45.08108108108108,-1.9559205760305198
KRW-TRUMP,ema_cross_12_48,34,-21.060854964597375,-38.18383621263338,45.92760180995475,-0.8661824150934523
KRW-TRUMP,trend_sma50_200,30,-33.85197392390589,-34.87337734034344,43.7888198757764,-2.9660359957123714
KRW-TRUMP,donchian_20_10,34,-15.354491918020152,-32.71275283465766,46.13180515759313,-0.6369249926916623
KRW-TRUMP,momentum_24_120,56,-7.537761579020796,-29.224838280318888,46.55581947743468,-0.209355990324554
KRW-TRUMP,rsi_reversion_30_55,54,-37.858119610639996,-41.74009439357018,45.81967213114754,-2.5135925703236777
KRW-TRUMP,bb_reversion_20_2,54,-32.40982494040363,-40.96316765979843,46.264367816091955,-2.4295490901000307
KRW-TRUMP,breakout_close_k05,220,-8.078424367486313,-21.177332847469486,41.57303370786517,-0.449997937039947
KRW-ENA,sma_cross_20_80,20,27.341272313253228,-21.290216051190413,36.434108527131784,1.4169051904724663
KRW-ENA,ema_cross_12_48,35,8.791750686498556,-27.627944644984083,36.298292902066486,0.7029242146923613
KRW-ENA,trend_sma50_200,43,1.8118517293753023,-20.27641300981805,35.551330798479086,0.3503707463066999
KRW-ENA,donchian_20_10,26,6.183025301022949,-32.24302189670335,36.50952858575727,0.5923549875454015
KRW-ENA,momentum_24_120,66,-7.190632440521105,-25.12109164482208,37.81362007168459,-0.15788813879043334
